Name,Birth Date,Party
"Abad, DamienDamien Abad",5 avril 1980(44 ans),DVD
"Abadie, CarolineCaroline Abadie",7 septembre 1976(47 ans),RE
"Abomangoli, NadègeNadège Abomangoli",15 septembre 1975(48 ans),LFI
"Acquaviva, Jean-FélixJean-Félix Acquaviva",19 mars 1973(51 ans),FaC
"Adam, DamienDamien Adam",28 juin 1989(35 ans),RE
"Alauzet, ÉricÉric Alauzet",7 juin 1958(66 ans),RE-TdP
"Albertini, XavierXavier Albertini",28 janvier 1970(54 ans),Horizons
"Alexandre, LaurentLaurent Alexandre",9 juin 1973(51 ans),LFI
"Alfandari, HenriHenri Alfandari",2 octobre 1979(44 ans),Horizons
"Allisio, FranckFranck Allisio",4 août 1980(43 ans),RN
"Amard, GabrielGabriel Amard",5 mai 1967(57 ans),LFI
"Amiel, DavidDavid Amiel",28 novembre 1992(31 ans),RE
"Amiot, SégolèneSégolène Amiot",23 février 1986(38 ans),LFI
"Amrani, FaridaFarida Amrani",3 septembre 1976(47 ans),LFI
"Anglade, Pieyre-AlexandrePieyre-Alexandre Anglade",2 novembre 1986(37 ans),RE
"Anthoine, EmmanuelleEmmanuelle Anthoine",2 juillet 1964(60 ans),LR
"Ardouin, Jean-PhilippeJean-Philippe Ardouin",5 mars 1964(60 ans),RE
"Arenas, RodrigoRodrigo Arenas",24 avril 1974(50 ans),LFI
"Armand, AntoineAntoine Armand",10 septembre 1991(32 ans),RE
"Arrighi, ChristineChristine Arrighi",19 septembre 1959(64 ans),EELV
"Autain, ClémentineClémentine Autain",26 mai 1973(51 ans),LFI-E!
"Auzanot, BénédicteBénédicte Auzanot",5 août 1972(51 ans),RN
"Aviragnet, JoëlJoël Aviragnet",16 juin 1956(68 ans),PS
"Babault, Anne-LaureAnne-Laure Babault",3 janvier 1982(42 ans),MoDem
"Balanant, ErwanErwan Balanant",21 février 1971(53 ans),MoDem
"Ballard, PhilippePhilippe Ballard",24 novembre 1960(63 ans),RN
"Bannier, GéraldineGéraldine Bannier",22 novembre 1979(44 ans),MoDem
"Baptiste, ChristianChristian Baptiste",18 juin 1962(62 ans),PPDG
"Barthès, ChristopheChristophe Barthès",12 octobre 1966(57 ans),RN
"Bassire, NathalieNathalie Bassire",22 janvier 1968(56 ans),DVD
"Bataillon, QuentinQuentin Bataillon",9 septembre 1993(30 ans),DVC
"Batho, DelphineDelphine Batho",23 mars 1973(51 ans),GE
"Battistel, Marie-NoëlleMarie-Noëlle Battistel",20 août 1956(67 ans),PS
"Batut, XavierXavier Batut",26 décembre 1976(47 ans),DVC
"Baubry, RomainRomain Baubry",28 janvier 1989(35 ans),RN
"Bayou, JulienJulien Bayou",11 juin 1980(44 ans),EELV
"Bazin, ThibaultThibault Bazin",27 octobre 1984(39 ans),LR
"Bazin-Malgras, ValérieValérie Bazin-Malgras",31 octobre 1969(54 ans),LR
"Beaune, ClémentClément Beaune",14 août 1981(42 ans),RE
"Beaurain, JoséJosé Beaurain",27 juillet 1971(52 ans),RN
"Becht, OlivierOlivier Becht",28 avril 1976(48 ans),RE
"Belhaddad, BelkhirBelkhir Belhaddad",9 juillet 1969(55 ans),RE
"Belhamiti, MounirMounir Belhamiti",8 mars 1985(39 ans),RE-PE
"Bellamy, BéatriceBéatrice Bellamy",20 octobre 1966(57 ans),Horizons
"Belluco, LisaLisa Belluco",20 juillet 1988(35 ans),EELV
"Bénard, ÉdouardÉdouard Bénard",18 février 1995(29 ans),PCF
"Ben Cheikh, KarimKarim Ben Cheikh",19 mars 1977,G.s
"Benoit, ThierryThierry Benoit",13 septembre 1966(57 ans),Horizons
"Bentz, ChristopheChristophe Bentz",4 juillet 1987(37 ans),RN
"Berete, FantaFanta Berete",31 mai 1975(49 ans),RE
"Bergantz, AnneAnne Bergantz",17 septembre 1968,MoDem
"Bernaert, DenisDenis Bernaert",1erjanvier 1964(60 ans),HOR
"Bernalicis, UgoUgo Bernalicis",25 septembre 1989(34 ans),LFI
"Berta, PhilippePhilippe Berta",11 avril 1960(64 ans),MoDem
"Berteloot, PierrickPierrick Berteloot",11 janvier 1999(25 ans),RN
"Besse, VéroniqueVéronique Besse",11 août 1963(60 ans),DVD
"Bex, ChristopheChristophe Bex",14 novembre 1961(62 ans),LFI
"Bilde, BrunoBruno Bilde",22 septembre 1976(47 ans),RN
"Bilongo, Carlos MartensCarlos Martens Bilongo",31 décembre 1990(33 ans),LFI
"Blairy, EmmanuelEmmanuel Blairy",14 mars 1986(38 ans),RN
"Blanc, SophieSophie Blanc",20 février 1968(56 ans),RN
"Blanchet, ChristopheChristophe Blanchet",9 avril 1973(51 ans),RE
"Blin, Anne-LaureAnne-Laure Blin",12 juin 1983(41 ans),LR
"Boccaletti, FrédéricFrédéric Boccaletti",23 novembre 1973(50 ans),RN
"Bolo, PhilippePhilippe Bolo",25 mars 1967(57 ans),MoDem
"Bompard, ManuelManuel Bompard",30 mars 1986(38 ans),LFI
"Bonnet, SylvieSylvie Bonnet",21 décembre 1969(54 ans),LR
"Bonnivard, ÉmilieÉmilie Bonnivard",2 août 1980(43 ans),LR
"Bony, Jean-YvesJean-Yves Bony",11 mars 1955(69 ans),LR
"Bordat, BenoîtBenoît Bordat",7 février 1984(40 ans),FP
"Bordes, PascalePascale Bordes",18 octobre 1961(62 ans),RN
"Borne, ÉlisabethÉlisabeth Borne",18 avril 1961(63 ans),RE-TdP
"Bothorel, ÉricÉric Bothorel",20 octobre 1966(57 ans),RE
"Boucard, IanIan Boucard",5 mai 1988(36 ans),LR
"Boudié, FlorentFlorent Boudié",22 septembre 1973(50 ans),RE
"Bouloux, ChantalChantal Bouloux",23 juin 1961(63 ans),RE
"Bouloux, MickaëlMickaël Bouloux",16 août 1972(51 ans),PS
"Boumertit, IdirIdir Boumertit",4 octobre 1974(49 ans),LFI
"Bourgeaux, Jean-LucJean-Luc Bourgeaux",10 avril 1963(61 ans),DVD
"Bourlanges, Jean-LouisJean-Louis Bourlanges",13 juillet 1946(78 ans),MoDem
"Bourouaha, SoumyaSoumya Bourouaha",16 mars 1964(60 ans),PCF
"Bouyx, BertrandBertrand Bouyx",26 mai 1970(54 ans),RE
"Bovet, JorysJorys Bovet",30 mars 1993(31 ans),RN
"Boyard, LouisLouis Boyard",26 août 2000(23 ans),LFI
"Boyer, PascalePascale Boyer",28 septembre 1965(58 ans),RE
"Braun-Pivet, YaëlYaël Braun-Pivet",7 décembre 1970(53 ans),RE
"Bregeon, MaudMaud Bregeon",11 février 1991(33 ans),RE
"Breton, XavierXavier Breton",25 novembre 1962(61 ans),LR
"Bricout, GuyGuy Bricout",18 février 1944(80 ans),UDI
"Bricout, Jean-LouisJean-Louis Bricout",27 décembre 1957(66 ans),DVG
"Brigand, HubertHubert Brigand",28 juillet 1952(71 ans),LR
"Brocard, BlandineBlandine Brocard",3 novembre 1981(42 ans),MoDem
"Brosse, AnthonyAnthony Brosse",4 novembre 1980(43 ans),RE
"Bru, VincentVincent Bru",29 avril 1955(69 ans),MoDem
"Brugnera, AnneAnne Brugnera",28 novembre 1970(53 ans),RE-TdP
"Brulebois, DanielleDanielle Brulebois",4 juillet 1947(77 ans),RE
"Brun, FabriceFabrice Brun",2 avril 1968(56 ans),LR
"Brun, PhilippePhilippe Brun",16 octobre 1991(32 ans),PS
"Buchou, StéphaneStéphane Buchou",14 mars 1974(50 ans),RE
"Buffet, FrançoiseFrançoise Buffet",11 décembre 1953(70 ans),DVC
"Buisson, JérômeJérôme Buisson",15 janvier 1973(51 ans),RN
"Cabrolier, FrédéricFrédéric Cabrolier",12 octobre 1966(57 ans),RN
"Califer, ÉlieÉlie Califer",19 avril 1954(70 ans),FGPS
"Calvez, CélineCéline Calvez",24 juillet 1979(44 ans),RE
"Caroit, ÉléonoreÉléonore Caroit",8 juillet 1985,RE
"Caron, AymericAymeric Caron",4 décembre 1971(52 ans),REV
"Carrière, SylvainSylvain Carrière",21 mai 1991(33 ans),LFI
"Castellani, MichelMichel Castellani",28 septembre 1945(78 ans),FaC
"Castor, Jean-VictorJean-Victor Castor",21 avril 1962(62 ans),MDES
"Catteau, VictorVictor Catteau",18 septembre 1995(28 ans),RN
"Causse, LionelLionel Causse",6 mai 1971(53 ans),RE-TdP
"Cazeneuve, Jean-RenéJean-René Cazeneuve",9 juin 1958(66 ans),RE
"Cazeneuve, PierrePierre Cazeneuve",11 mars 1995(29 ans),RE
"Chailloux, SteveSteve Chailloux",4 novembre 1985(38 ans),Tavini
"Chandler, ÉmilieÉmilie Chandler",29 avril 1983(41 ans),RE
"Chassaigne, AndréAndré Chassaigne",2 juillet 1950(74 ans),PCF
"Chatelain, CyrielleCyrielle Chatelain",15 juillet 1987(37 ans),EELV
"Chauche, FlorianFlorian Chauche",22 janvier 1984(40 ans),LFI
"Chenevard, YannickYannick Chenevard",27 novembre 1959(64 ans),DVC
"Chenu, SébastienSébastien Chenu",13 avril 1973(51 ans),RN
"Chikirou, SophiaSophia Chikirou",3 juin 1979(45 ans),LFI
"Christophe, PaulPaul Christophe",10 février 1971(53 ans),Agir
"Chudeau, RogerRoger Chudeau",28 septembre 1949(74 ans),RN
"Ciotti, ÉricÉric Ciotti",28 septembre 1965(58 ans),LR-A droite !
"Clapot, MireilleMireille Clapot",14 octobre 1963(60 ans),RE-EC
"Clouet, HadrienHadrien Clouet",13 juillet 1991(33 ans),LFI
"Colboc, FabienneFabienne Colboc",9 août 1971(52 ans),RE
"Colomb-Pitollat, ClaireClaire Colomb-Pitollat",17 septembre 1979(44 ans),RE
"Colombani, Paul-AndréPaul-André Colombani",17 août 1967(56 ans),PNC
"Colombier, CarolineCaroline Colombier",22 août 1957(66 ans),RN
"Coquerel, ÉricÉric Coquerel",30 décembre 1958(65 ans),LFI
"Corbière, AlexisAlexis Corbière",17 août 1968(55 ans),LFI
"Cordier, PierrePierre Cordier",27 mai 1972(52 ans),LR
"Cormier-Bouligeon, FrançoisFrançois Cormier-Bouligeon",19 novembre 1972(51 ans),RE
"Corneloup, JosianeJosiane Corneloup",30 septembre 1959(64 ans),LR
"Cosson, MickaëlMickaël Cosson",29 novembre 1975(48 ans),MoDem
"Couillard, BérangèreBérangère Couillard",24 août 1986(37 ans),RE
"Coulomme, Jean-FrançoisJean-François Coulomme",1eravril 1966(58 ans),LFI
"Courson, Charles deCharles de Courson",2 avril 1952(72 ans),LC
"Cousin, AnnickAnnick Cousin",7 août 1973(50 ans),RN
"Couturier, CatherineCatherine Couturier",27 février 1959(65 ans),LFI
"Cristol, LaurenceLaurence Cristol",8 novembre 1967(56 ans),RE
"Croizier, LaurentLaurent Croizier",29 janvier 1975(49 ans),MoDem
"Cubertafon, Jean-PierreJean-Pierre Cubertafon",5 février 1948(76 ans),MoDem
IntorniChristelle  D'Intorni,2 mai 1985(39 ans),LR
"Da Conceicao Carvalho, NathalieNathalie Da Conceicao Carvalho",31 mars 1966(58 ans),RN
"Da Silva, DominiqueDominique Da Silva",30 juin 1968(56 ans),RE
"Dalloz, Marie-ChristineMarie-Christine Dalloz",10 janvier 1958(66 ans),LR
"Darrieussecq, GenevièveGeneviève Darrieussecq",4 mars 1956(68 ans),MoDem
"Daubié, RomainRomain Daubié",5 mai 1980(44 ans),MoDem
"Davi, HendrikHendrik Davi",21 décembre 1977(46 ans),LFI
Alain DavidAlain David,2 juin 1949(75 ans),PS
"Decodts, ChristineChristine Decodts",19 mai 1966(58 ans),RE
"Delaporte, ArthurArthur Delaporte",7 octobre 1991(32 ans),PS
"Delautrette, StéphaneStéphane Delautrette",20 septembre 1972(51 ans),PS
"Delogu, SébastienSébastien Delogu",8 juin 1987(37 ans),LFI
"Delpech, JulieJulie Delpech",25 septembre 1989(34 ans),RE
"Descamps, BéatriceBéatrice Descamps",24 avril 1961(63 ans),PRV
"Descœur, VincentVincent Descœur",13 décembre 1962(61 ans),LR
"Descrozaille, FrédéricFrédéric Descrozaille",16 avril 1967(57 ans),RE
"Desjonquères, MathildeMathilde Desjonquères",6 septembre 1980(43 ans),MoDem
"Dessigny, JocelynJocelyn Dessigny",29 juin 1981(43 ans),RN
"Dharréville, PierrePierre Dharréville",15 juin 1975(49 ans),PCF
"Di Filippo, FabienFabien Di Filippo",23 août 1986(37 ans),LR
"Diaz, EdwigeEdwige Diaz",15 octobre 1987(36 ans),RN
"Dirx, BenjaminBenjamin Dirx",25 janvier 1979(45 ans),RE
"Dive, JulienJulien Dive",21 mai 1985(39 ans),LR
"Dogor-Such, SandrineSandrine Dogor-Such",8 novembre 1970(53 ans),RN
"Dordain, IngridIngrid Dordain",18 mars 1978(46 ans),EC
"Dragon, NicolasNicolas Dragon",19 avril 1977(47 ans),RN
"Dubois, FrancisFrancis Dubois",28 novembre 1961(62 ans),DVD
"Dubré-Chirat, NicoleNicole Dubré-Chirat",18 décembre 1951(72 ans),"RE,Cap21"
"Duby-Muller, VirginieVirginie Duby-Muller",16 août 1979(44 ans),LR
"Dufour, AlmaAlma Dufour",6 mai 1990(34 ans),LFI
"Dumont, Pierre-HenriPierre-Henri Dumont",7 octobre 1987(36 ans),LR
"Dunoyer, PhilippePhilippe Dunoyer",11 janvier 1968(56 ans),CE
"Dupont-Aignan, NicolasNicolas Dupont-Aignan",7 mars 1961(63 ans),DLF
"Dupont, StellaStella Dupont",3 novembre 1973(50 ans),"RE,EC"
"Dussopt, OlivierOlivier Dussopt",16 août 1978(45 ans),RE-TdP
"Echaniz, IñakiIñaki Echaniz",2 septembre 1993(30 ans),PS
"Emmanuel, PhilippePhilippe Emmanuel",8 juin 1960(64 ans),RE
"Engrand, ChristineChristine Engrand",7 mai 1955(69 ans),RN
"Erodi, KarenKaren Erodi",4 février 1977(47 ans),LFI-PG
"Errante, SophieSophie Errante",22 juillet 1971(52 ans),RE
"Esquenet-Goxes, LaurentLaurent Esquenet-Goxes",23 août 1962(61 ans),MoDem
"Étienne, MartineMartine Étienne",22 juin 1956(68 ans),LFI
"Fait, PhilippePhilippe Fait",24 juin 1969(55 ans),Horizons
"Falcon, FrédéricFrédéric Falcon",21 novembre 1985(38 ans),RN
"Falorni, OlivierOlivier Falorni",27 mars 1972(52 ans),PRG
"Faucillon, ElsaElsa Faucillon",6 août 1981(42 ans),PCF
"Faure, OlivierOlivier Faure",18 août 1968(55 ans),PS
"Favennec-Bécot, YannickYannick Favennec-Bécot",12 août 1958(65 ans),Horizons
"Fernandes, EmmanuelEmmanuel Fernandes",10 août 1980(43 ans),LFI-PG
"Ferracci, MarcMarc Ferracci",19 décembre 1977(46 ans),RE
"Ferrer, SylvieSylvie Ferrer",6 novembre 1967(56 ans),LFI
"Fiat, CarolineCaroline Fiat",28 janvier 1977(47 ans),LFI-E!
"Fiévet, Jean-MarieJean-Marie Fiévet",19 juin 1964(60 ans),RE
"Firmin-Le Bodo, AgnèsAgnès Firmin-Le Bodo",20 novembre 1968(55 ans),Horizons
"Folest, EstelleEstelle Folest",17 juin 1976(48 ans),RR
"Forissier, NicolasNicolas Forissier",17 février 1961(63 ans),LR
"Fournas, Grégoire deGrégoire de Fournas",19 mars 1985(39 ans),RN
"Fournier, CharlesCharles Fournier",10 mars 1968(56 ans),EÉLV
"François, ThibautThibaut François",10 décembre 1989(34 ans),RN
"Frappé, ThierryThierry Frappé",23 mai 1952(72 ans),RN
"Frei, PhilippePhilippe Frei",28 décembre 1968(55 ans),RE
"Froger, MartineMartine Froger",11 juin 1961(63 ans),PS
"Fuchs, BrunoBruno Fuchs",7 avril 1959(65 ans),MoDem
"Fugit, Jean-LucJean-Luc Fugit",27 novembre 1969(54 ans),RE
"Gaillard, PercevalPerceval Gaillard",24 avril 1983(41 ans),LFI-RÉ974
"Galzy, StéphanieStéphanie Galzy",21 octobre 1981(42 ans),RN
"Garin, Marie-CharlotteMarie-Charlotte Garin",2 septembre 1995(28 ans),EELV
"Garot, GuillaumeGuillaume Garot",20 mai 1966(58 ans),PS
"Garrido, RaquelRaquel Garrido",23 avril 1974(50 ans),LFI
"Gassilloud, ThomasThomas Gassilloud",21 mai 1981(43 ans),Agir
"Gatel, MaudMaud Gatel",6 avril 1979(45 ans),MoDem
"Gaultier, Jean-JacquesJean-Jacques Gaultier",13 juillet 1963(61 ans),LR
"Geismar, LucLuc Geismar",1ernovembre 1966(57 ans),MoDem
"Genetet, AnneAnne Genetet",20 avril 1963(61 ans),RE
"Genevard, AnnieAnnie Genevard",7 septembre 1956(67 ans),LR
"Gérard, FélicieFélicie Gérard",28 janvier 1974(50 ans),Horizons
"Gérard, RaphaëlRaphaël Gérard",17 octobre 1968(55 ans),RE
"Gernigon, FrançoisFrançois Gernigon",2 avril 1961(63 ans),Horizons
"Ghomi, HadrienHadrien Ghomi",6 avril 1989(35 ans),RE
"Giletti, FrankFrank Giletti",1ermars 1973(51 ans),RN
"Gillet, YoannYoann Gillet",29 août 1986(37 ans),RN
"Girard, ChristianChristian Girard",7 mai 1952(72 ans),RN
"Girardin, ÉricÉric Girardin",12 février 1962(62 ans),RE
"Giraud, JoëlJoël Giraud",14 octobre 1959(64 ans),PRV-RE
"Givernet, OlgaOlga Givernet",17 octobre 1981(42 ans),RE
"Gonzalez, JoséJosé Gonzalez",28 avril 1943(81 ans),RN
"Gosselin, PhilippePhilippe Gosselin",23 octobre 1966(57 ans),LR
"Gouffier Valente, GuillaumeGuillaume Gouffier Valente",1erfévrier 1986(38 ans),RE
"Goulet, FlorenceFlorence Goulet",30 juin 1961(63 ans),RN
"Goulet, PerrinePerrine Goulet",19 mars 1978(46 ans),MoDem
"Grandjean, CaroleCarole Grandjean",18 mai 1983(41 ans),RE
"Grangier, GéraldineGéraldine Grangier",13 février 1975(49 ans),RN
"Grelier, Jean-CarlesJean-Carles Grelier",15 mars 1966(58 ans),SL
"Grenon, DanielDaniel Grenon",31 juillet 1948(75 ans),RN
"Gruet, JustineJustine Gruet",23 octobre 1989(34 ans),LR
"Guedj, JérômeJérôme Guedj",23 janvier 1972(52 ans),PS
"Guetté, ClémenceClémence Guetté",15 mars 1991(33 ans),LFI
"Guichard, ClaireClaire Guichard",30 mai 1967(57 ans),RE
"Guiniot, MichelMichel Guiniot",29 novembre 1954(69 ans),RN
"Guiraud, DavidDavid Guiraud",18 novembre 1992(31 ans),LFI
"Guitton, JordanJordan Guitton",30 janvier 1995(29 ans),RN
"Gumbs, FrantzFrantz Gumbs",21 janvier 1954(70 ans),RE-RSM
"Habert-Dassault, VictorVictor Habert-Dassault",12 juillet 1992(32 ans),LR
"Habib, DavidDavid Habib",16 mars 1961(63 ans),DVG
"Habib, MeyerMeyer Habib",28 avril 1961(63 ans),UDI
"Haddad, BenjaminBenjamin Haddad",23 octobre 1985(38 ans),RE
"Hai, NadiaNadia Hai",8 mars 1980(44 ans),RE
"Hajjar, JohnnyJohnny Hajjar",17 janvier 1973(51 ans),PPM
"Hamelet, MarineMarine Hamelet",13 juillet 1967(57 ans),RN
"Haury, YannickYannick Haury",12 juin 1954(70 ans),RE
"Henriet, PierrePierre Henriet",26 novembre 1991(32 ans),Horizons
"Herbillon, MichelMichel Herbillon",6 mars 1951(73 ans),LR
"Hetzel, PatrickPatrick Hetzel",2 juillet 1964(60 ans),LR
"Hignet, MathildeMathilde Hignet",10 juin 1993(31 ans),LFI
"Holroyd, AlexandreAlexandre Holroyd",17 mai 1987(37 ans),RE
"Houlié, SachaSacha Houlié",8 octobre 1988(35 ans),RE
"Houssin, TimothéeTimothée Houssin",29 mai 1988(36 ans),RN
"Husson, ÉricÉric Husson",6 juillet 1963(61 ans),RE
"Iborra, MoniqueMonique Iborra",8 mars 1945(79 ans),RE
"Iordanoff, JérémieJérémie Iordanoff",2 février 1983(41 ans),EELV
"Isaac-Sibille, CyrilleCyrille Isaac-Sibille",30 avril 1958(66 ans),MoDem
"Izard, AlexisAlexis Izard",15 juin 1992(32 ans),RE
"Jacobelli, LaurentLaurent Jacobelli",13 octobre 1969(54 ans),RN
"Jacques, Jean-MichelJean-Michel Jacques",29 février 1968(56 ans),RE
"Jacquier-Laforge, ÉlodieÉlodie Jacquier-Laforge",15 avril 1978(46 ans),MoDem
"Janvier, CarolineCaroline Janvier",9 mars 1982(42 ans),RE
"Jaouen, CatherineCatherine Jaouen",5 avril 1962(62 ans),RN
"Jolivet, FrançoisFrançois Jolivet",21 mars 1966(58 ans),Horizons
"Jolly, AlexisAlexis Jolly",22 décembre 1990(33 ans),RN
"Josso, SandrineSandrine Josso",19 septembre 1975(48 ans),MoDem
"Jourdan, ChantalChantal Jourdan",2 septembre 1958(65 ans),PS
"Julien-Laferrière, HubertHubert Julien-Laferrière",27 février 1966(58 ans),GE
"Jumel, SébastienSébastien Jumel",20 décembre 1971(52 ans),PCF
"Juvin, PhilippePhilippe Juvin",1erfévrier 1964(60 ans),LR
"K/Bidi, EmelineEmeline K/Bidi",13 mai 1987(37 ans),LP
"Kamardine, MansourMansour Kamardine",23 mars 1959(65 ans),LR
"Karamanli, MariettaMarietta Karamanli",18 décembre 1964(59 ans),DVG
"Keke, RachelRachel Keke",30 mai 1974(50 ans),LFI
"Keloua-Hachi, FatihaFatiha Keloua-Hachi",5 juin 1971(53 ans),PS
"Kerbrat, AndyAndy Kerbrat",1eroctobre 1990(33 ans),LFI
"Kervran, LoïcLoïc Kervran",11 février 1984(40 ans),Horizons
"Klinkert, BrigitteBrigitte Klinkert",22 juillet 1956(67 ans),RE
"Kochert, StéphanieStéphanie Kochert",12 août 1975(48 ans),Horizons
"Labaronne, DanielDaniel Labaronne",16 juillet 1955(69 ans),RE
